"lambdas","nus","mean_sq"
1,1,3.0084624103559
1,2,9.1153134736754
1,3,18.8365351533059
1,4,33.2659793337792
1,5,50.7867298963224
1,6,74.2830882475232
1,7,95.8832601343442
1,8,131.883962339533
1,9,156.972528222659
1,10,191.291163087833
2,1,5.94414139018406
2,2,11.6428738264887
2,3,21.5306199221858
2,4,36.6112299067492
2,5,54.9740359443614
2,6,78.1059677770138
2,7,101.94625036466
2,8,132.001067511991
2,9,161.641772132102
2,10,201.92488567348
3,1,10.7955348179075
3,2,16.6424407545391
3,3,25.9995824610669
3,4,41.800421494324
3,5,60.0645649708242
3,6,80.9683674172563
3,7,107.461239423189
3,8,139.928688069972
3,9,177.496183928866
3,10,214.440757594437
4,1,17.9733924935999
4,2,24.2778584665166
4,3,33.3189897421936
4,4,47.2799191989947
4,5,64.8202344276553
4,6,86.0808191899532
4,7,116.452041250304
4,8,146.155320890851
4,9,182.583769780468
4,10,208.0234046484
5,1,26.2867506178839
5,2,33.7948676518358
5,3,44.4750760884188
5,4,56.7177716346366
5,5,74.7017977365765
5,6,97.1603176537855
5,7,123.626983839991
5,8,152.933917199954
5,9,186.102832376821
5,10,230.179973387644
6,1,37.8096773673219
6,2,44.7372073588994
6,3,57.2033175142607
6,4,64.8970747077278
6,5,86.3673848166287
6,6,111.004630088796
6,7,135.343782995214
6,8,164.124951707332
6,9,196.460865848561
6,10,241.714542556172
7,1,50.7880798094639
7,2,55.8140993023847
7,3,67.8212033819382
7,4,76.9841099295483
7,5,95.1674202429846
7,6,120.86516891719
7,7,148.872492867571
7,8,180.879515985482
7,9,211.478835153106
7,10,236.599395477257
8,1,64.8541740768966
8,2,72.2033715029614
8,3,81.5953988965983
8,4,93.4936889076089
8,5,116.768882138618
8,6,131.856967039954
8,7,159.145303185731
8,8,194.937523339633
8,9,237.918330002831
8,10,257.983945886169
9,1,86.4461200702434
9,2,88.6003058349151
9,3,93.5917646745462
9,4,111.631661688291
9,5,126.068204971951
9,6,150.740532794023
9,7,179.304688449999
9,8,205.196689234313
9,9,246.464944377517
9,10,286.584419658158
10,1,102.907290840252
10,2,118.345858033728
10,3,121.309489244099
10,4,135.574971070265
10,5,151.593313970932
10,6,166.761776405995
10,7,203.159000916338
10,8,235.043671112022
10,9,267.285350718588
10,10,313.85341203603
